Занимаемая должность;Тип должности
Аппаратчик енолизации;не медицинская должность
Аппаратчик желатинизации;не медицинская должность
Аппаратчик жироочистки;не медицинская должность
Аппаратчик замораживания пищевого сырья и продуктов;не медицинская должность
Аппаратчик запаривания;не медицинская должность
Аппаратчик запаривания одонков;не медицинская должность
Аппаратчик золения;не медицинская должность
Аппаратчик золки;не медицинская должность
Аппаратчик извлечения побочных продуктов;не медицинская должность
Аппаратчик изготовления армированных прессовочных материалов;не медицинская должность
Аппаратчик изготовления баритмассы;не медицинская должность
Аппаратчик изготовления искусственного шеелита;не медицинская должность
Аппаратчик изготовления пленочных материалов;не медицинская должность
Аппаратчик изготовления резиновых нитей;не медицинская должность
Аппаратчик изготовления рентгеновских экранов;не медицинская должность
Аппаратчик изготовления стекловолокнистых материалов;не медицинская должность
Аппаратчик изготовления термопасты;не медицинская должность
Аппаратчик измельчения и предсозревания;не медицинская должность
Аппаратчик изомеризации;не медицинская должность
Аппаратчик имидирования;не медицинская должность
Аппаратчик ионного обмена;не медицинская должность
Аппаратчик ионообменной очистки глицерина;не медицинская должность
Аппаратчик испарения;не медицинская должность
Аппаратчик испарительной установки;не медицинская должность
Аппаратчик йодирования;не медицинская должность
Аппаратчик калибровки;не медицинская должность
Аппаратчик карбидизации;не медицинская должность
Аппаратчик карбонизации;не медицинская должность
Аппаратчик каустификации;не медицинская должность
Аппаратчик кислотной обработки спилка;не медицинская должность
Аппаратчик коагулирования шляма;не медицинская должность
Аппаратчик коагуляции;не медицинская должность
Аппаратчик коконозапарочной машины;не медицинская должность
Аппаратчик комбикормового производства;не медицинская должность
Аппаратчик конверсии;не медицинская должность
Аппаратчик конденсации;не медицинская должность
Аппаратчик контактирования;не медицинская должность
Аппаратчик контактной выпарки;не медицинская должность
Аппаратчик концентрирования кислот;не медицинская должность
Аппаратчик коньячного производства;не медицинская должность
Аппаратчик крахмального агрегата;не медицинская должность
Аппаратчик крашения и жирования кож;не медицинская должность
Аппаратчик кристаллизации;не медицинская должность
Аппаратчик кристаллизации и центрифугирования;не медицинская должность
Аппаратчик крупяного производства;не медицинская должность
Аппаратчик ксантогенирования;не медицинская должность
Аппаратчик лесохимической установки;не медицинская должность
Аппаратчик литья и рубки;не медицинская должность
Аппаратчик матирования смолы;не медицинская должность
Аппаратчик мерсеризации;не медицинская должность
Аппаратчик мокрой классификации;не медицинская должность
