id|name|parent_id|sort|normative|form_30|sert|actual|comment|p_group|data_end
336|Заместитель руководителя медицинской организации|6|11||4||t|""|f|
337|Заместитель начальника медицинской организации|6|12||4||t|""|f|
429|Заведующий отделом медицинской организации|7|14||4||t|""|f|
430|Заведующий отделением медицинской организации|7|15||4||t|""|f|
208|Бухгалтер|205|262||217||t|""|f|
431|Заведующий лабораторией медицинской организации|7|16||4||t|""|f|
432|Заведующий кабинетом медицинской организации|7|17||4||t|""|f|
433|Заведующий отрядом медицинской организации|7|18||4||t|""|f|
434|Начальник отдела медицинской организации|7|19||4||t|""|f|
435|Начальник отделения медицинской организации|7|20||4||t|""|f|
436|Начальник лаборатории медицинской организации|7|21||4||t|""|f|
437|Начальник кабинета медицинской организации|7|22||4||t|""|f|
438|Начальник отряда медицинской организации|7|23||4||t|""|f|
513|Руководитель бюро медико-социальной экспертизы|7|24||||t|""|f|
514|Руководитель экспертного состава медико-социальной экспертизы|7|25||||t|""|f|
515|Руководитель Главного бюро медико-социальной экспертизы|7|26||||t|""|f|
340|Заведующий структурным подразделением, осуществляющим медицинскую деятельность, иной организации|4|28||4||t|""|f|
341|Главный врач структурного подразделения, осуществляющего медицинскую деятельность, иной организации|4|29||4||t|""|f|
342|Начальник структурного подразделения, осуществляющего медицинскую деятельность, иной организации|4|30||4||t|""|f|
343|Главная медицинская сестра |3|32||4||t|""|f|
344|Главная акушерка|3|33||4||t|""|f|
345|Главный фельдшер|3|34||4||t|""|f|
11|Врач-стажер|10|36|1|84||t|""|f|
13|Врач-акушер-гинеколог|12|38|1|5||t|""|f|
14|Врач-акушер-гинеколог цехового врачебного участка|12|39|1|5||t|""|f|
15|Врач-аллерголог-иммунолог|12|40|1|6||t|""|f|
16|Врач-анестезиолог-реаниматолог|12|41|1|7||t|""|f|
17|Врач-бактериолог|12|42|1|8||t|""|f|
18|Врач-вирусолог|12|43|1|9||t|""|f|
19|Врач-гастроэнтеролог|12|44|1|11||t|""|f|
20|Врач-гематолог|12|45|1|12||t|""|f|
21|Врач-генетик|12|46|1|13||t|""|f|
22|Врач-гериатр|12|47|1|14||t|""|f|
23|Врач-дезинфектолог|12|48|1|15||t|""|f|
24|Врач-дерматовенеролог|12|49|1|16||t|""|f|
25|Врач - детский кардиолог|12|50|1|21||t|""|f|
26|Врач - детский онколог|12|51|1|37||t|""|f|
27|Врач - детский уролог-андролог|12|52|1|106||t|""|f|
28|Врач - детский хирург|12|53|1|113||t|""|f|
328|Водитель|323|497||||t|""|f|
29|Врач - детский эндокринолог|12|54|1|119||t|""|f|
30|Врач-диабетолог|12|55|1|17||t|""|f|
31|Врач-диетолог|12|56|1|18||t|""|f|
32|Врач здравпункта|12|57|1|10||t|""|f|
33|Врач-инфекционист|12|58|1|19||t|""|f|
34|Врач-кардиолог|12|59|1|20||t|""|f|
35|Врач клинической лабораторной диагностики|12|60|1|22||t|""|f|
36|Врач - клинический миколог|12|61|1|23||t|""|f|
37|Врач - клинический фармаколог|12|62|1|107||t|""|f|
38|Врач-колопроктолог|12|63|1|24||t|""|f|
39|Врач-косметолог|12|64|1|25||t|""|f|
40|Врач-лаборант|12|65|1|26||t|сохраняется для специалистов, принятых на эту должность до 1 октября 1999 года|f|1999-10-01
41|Врач - лабораторный генетик|12|66|1|27||t|""|f|
42|Врач - лабораторный миколог|12|67|1|28||t|""|f|
43|Врач мануальной терапии|12|68|1|29||t|""|f|
45|Врач-невролог|12|70|1|31||t|""|f|
46|Врач-нейрохирург|12|71|1|32||t|""|f|
47|Врач-неонатолог|12|72|1|33||t|""|f|
48|Врач-нефролог|12|73|1|34||t|""|f|
49|Врач общей практики (семейный врач)|12|74|1|35||t|""|f|
50|Врач-онколог|12|75|1|36||t|""|f|
51|Врач-ортодонт|12|76|1|38||t|""|f|
52|Врач-остеопат|12|77|1|39||t|""|f|
53|Врач-оториноларинголог|12|78|1|40||t|""|f|
54|Врач-офтальмолог|12|79|1|41||t|""|f|
55|Врач-офтальмолог-протезист|12|80|1|42||t|""|f|
56|Врач-паразитолог|12|81|1|43||t|""|f|
57|Врач-патологоанатом|12|82|1|44||t|""|f|
58|Врач-педиатр|12|83|1|45||t|""|f|
59|Врач-педиатр участковый |12|84|1|46||t|""|f|
60|Врач-педиатр городской (районный)|12|85|1|47||t|""|f|
